Start End Weight
N0 N1 83
N0 N2 86
N0 N3 77
N0 N4 15
N0 N5 93
N0 N6 35
N0 N7 86
N0 N8 92
N0 N9 49
N0 N10 21
N0 N11 62
N0 N12 27
N0 N13 90
N0 N14 59
N0 N15 63
N0 N16 26
N0 N17 40
N0 N18 26
N0 N19 72
N0 N20 36
N0 N21 10
N0 N22 68
N0 N23 64
N0 N24 27
N0 N25 49
N0 N26 81
N0 N27 91
N0 N28 6
N0 N29 89
N0 N30 40
N0 N31 88
N0 N32 2
N0 N33 83
N0 N34 36
N0 N35 48
N0 N36 64
N0 N37 50
N0 N38 62
N0 N39 33
N0 N40 59
N0 N41 71
N0 N42 2
N0 N43 35
N0 N44 4
N0 N45 83
N0 N46 41
N0 N47 62
N0 N48 1
N0 N49 19
N0 N50 90
N0 N51 69
N0 N52 68
N0 N53 3
N0 N54 87
N0 N55 84
N0 N56 43
N0 N57 24
N0 N58 71
N0 N59 58
N0 N60 17
N0 N61 8
N0 N62 21
N0 N63 48
N0 N64 41
N0 N65 54
N0 N66 7
N0 N67 14
N0 N68 80
N0 N69 12
N0 N70 34
N0 N71 95
N0 N72 68
N0 N73 87
N0 N74 97
N0 N75 24
N0 N76 35
N0 N77 68
N0 N78 70
N0 N79 1
N0 N80 94
N0 N81 84
N0 N82 8
N0 N83 77
N0 N84 83
N0 N85 8
N0 N86 57
N0 N87 93
N0 N88 96
N0 N89 42
N0 N90 31
N0 N91 38
N0 N92 60
N0 N93 64
N0 N94 91
N0 N95 95
N0 N96 19
N0 N97 9
N0 N98 24
N0 N99 30
N1 N2 8
N1 N3 67
N1 N4 63
N1 N5 71
N1 N6 89
N1 N7 99
N1 N8 82
N1 N9 9
N1 N10 28
N1 N11 83
N1 N12 80
N1 N13 73
N1 N14 4
N1 N15 49
N1 N16 49
N1 N17 58
N1 N18 18
N1 N19 42
N1 N20 87
N1 N21 98
N1 N22 94
N1 N23 90
N1 N24 82
N1 N25 46
N1 N26 36
N1 N27 77
N1 N28 51
N1 N29 68
