# Iteration  Total_Pheromone  Best_Path_Pheromone  Best_Path_Length  Current_Path_Length
1 482.401 20 235 235
2 608.255 50.8135 181 181
3 771.557 102.873 142 142
4 932.926 199.566 139 139
5 1107.66 273.998 128 128
6 1297.36 424.802 108 108
7 1480.29 539.821 97 97
8 1640.25 831.82 95 95
9 1832.05 985.677 95 107
10 2014.71 1167.99 95 117
11 2198.34 1139.61 94 94
12 2354.54 1307.37 94 95
13 2517.15 1442.87 94 95
14 2671.3 1588.14 94 112
15 2843.34 1735.54 94 97
16 2977.44 1900.35 94 112
17 3147.16 2019.46 94 95
18 3298.15 2387.81 91 91
19 3435.7 2571.5 91 98
20 3562.64 2716.39 91 91
21 3689.44 2860.78 91 95
22 3808.25 3013.26 91 95
23 3935.04 3155.41 91 98
24 4048.32 3287.32 91 95
25 4149.4 3418.11 91 95
26 4230.29 3526.6 91 95
27 4316.95 3627.95 91 95
28 4382.12 3747.33 91 95
29 4455.41 3832.39 91 94
30 4554.37 3930.46 91 91
31 4627.6 4043.19 91 95
32 4701.64 4136.66 91 94
33 4769.42 4235.63 91 95
34 4858.32 4323.99 91 91
35 4926.68 4450.9 91 95
36 5012.43 4537.53 91 95
37 5070.83 4648.84 91 95
38 5124.61 4728.14 91 95
39 5189.75 4799.98 91 91
40 5277.61 4876.57 91 91
41 5309.89 5004.98 91 95
42 5364.53 5069.78 91 95
43 5412.77 5142.95 91 95
44 5491.27 5206.06 91 91
45 5538.82 5338.88 91 91
46 5597.86 5410.85 91 95
47 5644.44 5489.46 91 95
48 5677.4 5576 91 95
49 5695.52 5624.33 91 95
50 5729.6 5652.12 91 109
51 5784.73 5689.34 91 95
52 5805.86 5761.39 91 95
53 5820.29 5800.42 91 112
54 5844.33 5816.6 91 95
55 5867.64 5873.81 91 95
56 5889.44 5920.38 91 92
57 5886.45 5956.07 91 121
58 5908.4 5972.59 91 95
59 5944.45 5998.98 91 91
60 5973.51 6086.67 91 91
61 6028.81 6133.24 91 91
62 6035.87 6239.04 91 95
63 6049.59 6251.65 91 97
64 6054.82 6278.3 91 95
65 6091.39 6297.85 91 91
66 6106.86 6361.51 91 95
67 6125.31 6394.45 91 95
68 6150.67 6440.78 91 91
69 6161 6481.51 91 94
70 6191.15 6511.34 91 91
71 6210.03 6567.62 91 91
72 6239.3 6595.35 91 92
73 6271.54 6632.1 91 91
74 6290.26 6684.34 91 95
75 6306.76 6719.38 91 95
76 6319.12 6752.3 91 91
77 6326.17 6773.41 91 106
78 6340.01 6781.8 91 91
79 6340.64 6809.9 91 91
80 6337.94 6822.52 91 95
81 6349.5 6825.95 91 95
82 6369.92 6849.88 91 91
83 6392.97 6872.7 91 91
84 6417.99 6922.94 91 91
85 6423.74 6985.55 91 95
86 6446.03 6984.19 91 91
87 6445.92 7031.55 91 91
88 6483.92 7035.32 91 95
89 6507.99 7090.75 91 91
90 6499.34 7147.61 91 100
91 6511.84 7129.14 91 91
92 6504.61 7157.43 91 95
93 6516.64 7140.08 91 91
94 6516.1 7178.53 91 95
95 6534.41 7162.53 91 91
96 6538.58 7221.52 91 95
97 6544.91 7221.76 91 95
98 6545.04 7230.29 91 95
99 6550.23 7221.13 91 91
100 6545.18 7227.84 91 91
101 6552.77 7218.38 91 92
102 6568.8 7229.52 91 95
103 6585.83 7258 91 92
104 6580.35 7283.27 91 106
105 6596.38 7284.03 91 92
106 6592.58 7314.83 91 95
107 6604.51 7296.86 91 95
108 6596.83 7307.36 91 112
109 6603.58 7297.85 91 95
110 6592.99 7311.89 91 95
111 6592.95 7300 91 91
112 6601.53 7298.21 91 95
113 6596.71 7322.15 91 95
114 6595.45 7329.01 91 95
115 6577.4 7342.72 91 95
116 6576.09 7328.23 91 91
117 6594.23 7330.67 91 97
118 6593.8 7360.23 91 95
119 6606.56 7346.73 91 95
120 6618.2 7378.31 91 95
121 6626.81 7410.58 91 91
122 6627.77 7430.27 91 95
123 6626.16 7430.57 91 95
124 6621.35 7435.55 91 112
125 6630.81 7420.75 91 95
126 6633.07 7421.14 91 95
127 6627.86 7429.43 91 110
128 6647.12 7429.51 91 95
129 6642.68 7465.55 91 112
130 6652.65 7458.94 91 91
131 6635.28 7467.02 91 95
132 6648.63 7446.89 91 91
133 6650.61 7474.34 91 91
134 6635.87 7466.46 91 91
135 6643.14 7444.66 91 95
136 6651.3 7459.05 91 95
137 6651.18 7481.66 91 92
138 6645.78 7471.4 91 116
139 6637.45 7463.04 91 95
140 6643.54 7437.02 91 95
141 6647.2 7447.84 91 112
142 6635.38 7453.5 91 95
143 6638.42 7436.91 91 95
